啊,1=aadz
畈,2=fjqr
墦,1=fjgq
𫔍,1=fjzq
𬸪,1=fjtx
放,1=fhlh
方,1=fhlf
防,1=fhtl
房,1=fhml
仿,1=fhjl
坊,1=fhgl
芳,1=fhll
访,1=fhsl
钫,1=fhzl
昉,1=fhol
纺,1=fhil
枋,1=fhel
鲂,1=fhwl
妨,1=fhbl
肪,1=fhvl
舫,2=fhil
蚄,1=fhcl
邡,1=fhlt
牥,1=fhql
非,1=fzrf
费,1=fzto
飞,1=fzcf
肺,1=fzvr
废,1=fzxi
肥,1=fzvm
菲,1=fzlr
妃,1=fzbv
匪,1=fznr
绯,1=fzir
斐,1=fzrv
吠,1=fzdm
沸,1=fzkt
啡,1=fzdr
霏,1=fztr
榧,1=fzer
扉,1=fzmr
腓,2=fzvr
淝,1=fzkm
蜚,1=fzrc
朏,2=fzvm
镄,1=fzzo
诽,1=fzsr
痱,1=fzar
翡,1=fzrz
狒,1=fzmt
鲱,1=fzwr
悱,1=fzhr
芾,2=fzlr
棐,1=fzre
剕,1=fzrp
篚,1=fzrr
𬴂,2=fznr
分,1=ffhp
粉,1=ffpp
份,1=ffjp
坟,1=ffgv
芬,1=fflp
粪,1=ffph
焚,1=ffec
汾,1=ffkp
酚,1=ffyp
忿,1=ffhh
愤,1=ffho
奋,1=ffmq
偾,1=ffjo
纷,1=ffip
氛,1=ffvp
棻,1=ffle
棼,1=ffep
鲼,1=ffwo
瀵,1=ffkh
玢,1=ffnp
翂,1=ffzp
吩,1=ffdp
坋,1=ffgp
鼢,2=ffpp
豮,2=ffjo
𣸣,1=ffko
风,1=fgob
封,1=fggk
冯,1=fgwn
峰,1=fgva
疯,1=fgab
缝,1=fgiu
奉,1=fgau
逢,1=fghu
锋,1=fgza
丰,1=fgaf
凤,1=fgor
枫,1=fgeb
蜂,1=fgca
俸,1=fgju
沣,1=fgka
讽,1=fgsb
葑,1=fglk
沨,1=fgkb
烽,2=fgca
酆,1=fgvt
唪,1=fgdu
砜,1=fgmb
崶,1=fgvk
赗,1=fgoq
浲,2=fgka
佛,1=fojt
否,1=fbcd
缶,1=fbaf
负,1=fuxo
附,1=futk
服,1=fuvr
副,1=fufp
付,1=fujk
福,1=fufq
府,1=fuxk
复,1=fueh
富,1=fuwq
夫,1=fuhf
赴,1=fupy
父,1=fuhb
扶,1=fuuh
氟,1=fuvt
赋,1=fuos
弗,1=futf
符,1=furk
伏,1=fujm
傅,2=fujk
幅,1=furq
敷,1=funh
芙,1=fulh
斧,1=fuht
釜,1=fuhz
腹,1=fuvh
浮,1=fukh
辅,1=fuyn
妇,1=fubb
甫,1=funf
覆,2=fuvh
抚,1=fuud
拂,1=fuut
腐,1=fuxj
缚,1=fuik
俘,1=fujh
俯,3=fujk
腑,1=fuvk
辐,1=fuyq
孚,1=fuyh
孵,1=fubh
佛,1=fujt
阜,1=futn
凫,2=fuxo
肤,3=fuvh
蝠,1=fucq
祓,1=fufi
脯,1=fuvn
芣,1=fulc
黼,1=fucn
鄜,1=fuxt
馥,1=fuxh
涪,1=fukd
桴,2=fueh
黻,1=fuci
苻,1=fulk
拊,1=fuuk
麸,1=fuah
郛,1=fuyt
玞,2=funh
簠,1=fura
绂,1=fuii
宓,1=fuwt
跗,1=fupk
茯,1=fulm
赙,1=fuok
莩,2=fulh
趺,1=fuph
茀,1=fult
蝮,1=fuch
稃,2=fuxh
匐,1=funq
罘,1=fuyc
驸,1=funk
怫,2=fuht
呋,1=fudh
袱,1=futm
洑,1=fukm
榑,1=fuek
鲋,1=fuwk
菔,1=fulr
滏,1=fukz
芾,2=fulr
咐,1=fudk
幞,1=furi
艴,2=futm
绋,1=fuit
蚨,2=fuch
韨,1=fugi
琈,3=funh
垺,1=fugh
讣,1=fusy
蜉,3=fuch
砆,1=fumh
㕮,1=fudb
㳇,1=fukb
𫓧,1=fuzh
𫖯,1=fupw
尬,1=gaop
嘎,1=gadp
噶,1=gadf
伽,1=gajd
尕,1=gavy
钆,1=gaza
咖,1=gadd
旮,1=gako
尜,1=gayy
轧,1=gaya
戛,1=gafp
该,1=glsk
改,1=glvh
盖,1=glga
钙,1=glza
概,1=gled
丐,1=glfa
垓,1=glgk
陔,1=gltk
溉,1=glkd
赅,1=glok
荄,1=gllk
戤,1=glvp
晐,2=glok
𬮿,1=gltv
感,1=gjnh
干,1=gjeg
敢,1=gjah
肝,1=gjve
杆,1=gjee
赶,1=gjpe
甘,1=gjzg
柑,1=gjez
淦,1=gjkz
赣,1=gjxo
苷,1=gjlz
擀,1=gjue
绀,1=gjiz
竿,1=gjre
尴,1=gjoa
橄,1=gjeh
秆,1=gjxe
酐,1=gjye
鳡,1=gjwh
玕,1=gjne
矸,1=gjme
泔,2=gjkz
坩,1=gjgz
旰,1=gjoe
疳,1=gjaz
澉,1=gjkh
虷,1=gjce
㽏,3=gjkz
刚,1=ghmp
岗,1=ghvb
港,1=ghkv
杠,1=gheu
缸,1=ghau
钢,1=ghzb
纲,1=ghib
肛,1=ghvu
冈,1=ghmb
罡,1=ghys
矼,1=ghmu
扛,1=ghuu
戆,1=ghxh
冮,1=ghwu
堽,1=ghgs
筻,1=ghrb
㭎,1=gheb
鿍,1=ghgv
高,1=gkgg
搞,1=gkug
稿,1=gkxg
告,1=gkqd
膏,1=gkgv
糕,1=gkpc
镐,1=gkzg
诰,1=gksd
皋,1=gkun
锆,1=gkzd
郜,1=gkqt
缟,1=gkig
睾,1=gktg
藁,1=gkle
杲,1=gkoe
篙,1=gkrg
槔,1=gken
羔,1=gkgc
槁,1=gkeg
筶,1=gkrd
个,1=gejg
各,1=gesg
哥,1=gezz
歌,1=geze
格,1=gees
割,1=gewp
隔,1=getn
咯,1=geds
搁,1=geus
戈,1=gepg
葛,1=gelf
阁,1=geas
铬,1=gezs
鸽,1=gejx
镉,1=gezn
革,1=getg
嗝,1=gedn
硌,1=gems
膈,1=gevn
鬲,1=geng
胳,1=gevs
蛤,1=gecd
骼,1=gefs
盖,1=gega
舸,1=geiz
圪,2=gega
疙,1=geaa
饹,1=geqs
滆,1=gekn
袼,1=gets
哿,1=gesz
仡,1=geja
合,1=gejd
虼,1=geca
塥,1=gegn
给,1=gzid
跟,1=gfpi
根,1=gfei
哏,1=gfdi
艮,1=gfig
亘,1=gfff
茛,1=gfli
更,1=ggfb
梗,1=ggeb
羹,1=gggm
耿,1=ggqc
耕,1=ggaq
庚,1=ggxj
埂,1=gggb
哽,1=ggdb
赓,1=ggxo
暅,1=ggof
鲠,1=ggwb
浭,1=ggkb
颈,1=ggrw
绠,1=ggib
鹒,1=ggxx
𬒔,1=ggmv
共,1=gslh
供,1=gsjh
弓,1=gsbg
工,1=gsug
公,1=gshk
宫,1=gswd
攻,1=gsuh
功,1=gsus
拱,2=gsuh
龚,1=gsth
汞,1=gsuk
贡,1=gsuo
恭,2=gslh
巩,1=gsui
躬,1=gszb
肱,1=gsvk
觥,1=gsxm
蚣,1=gsck
珙,1=gsnh
䢼,1=gslt
硔,1=gsmh
狗,1=gbmg
够,1=gbgl
勾,1=gbnk
钩,1=gbzk
购,1=gbok
沟,1=gbkk
苟,1=gblg
构,1=gbek
垢,1=gbgd
篝,1=gbrg
遘,1=gbqu
彀,1=gbgr
诟,1=gbsd
觏,1=gbqe
媾,1=gbbg
枸,1=gbeg
姤,1=gbbd
雊,1=gbgu
鞲,1=gbtg
句,1=gbgj
笱,2=gbrg
缑,1=gbio
佝,1=gbjg
岣,1=gbvg
耇,1=gbqg
故,1=guch
股,1=guvr
古,1=gucg
鼓,1=guhc
谷,1=guhg
骨,1=gufg
顾,1=guxw
钴,1=guzc
雇,1=gumu
孤,1=guhy
固,1=gurc
菇,1=gulc
姑,1=gubc
蛊,1=guca
箍,1=gurr
估,1=gujc
咕,1=gudc
瞽,1=guhq
沽,1=gukc
菰,1=guly
诂,1=gusc
辜,1=gucn
毂,1=gugr
榖,2=gugr
觚,1=guxy
贾,1=guvo
酤,1=guyc
锢,2=guzc
崮,1=guvc
堌,1=gugc
蛄,1=gucc
罟,2=guyc
汩,1=guko
鹘,1=gufx
轱,3=guyc
牯,1=guqc
嘏,1=gucr
梏,1=gued
鲴,1=guwc
呱,1=gudy
鹄,1=guqx
痼,1=guac
鸪,1=gucx
羖,3=gugr
瀔,1=gukr
臌,2=guvc
馉,1=guqf
牿,1=guqd
蓇,1=gulf
𦙶,3=guvc
挂,1=gwug
刮,1=gwap
瓜,1=gwyg
卦,1=gwgy
寡,1=gwwp
呱,1=gwdy
剐,1=gwdp
胍,1=gwvy
褂,1=gwty
栝,1=gwea
鸹,1=gwax
诖,1=gwsg
怪,1=gyhg
乖,1=gylv
拐,1=gyus
夬,1=gynj
掴,1=gyui
管,1=grrk
关,1=grhm
官,1=grwk
观,1=grre
馆,1=grqk
冠,2=grwk
灌,1=grku
罐,1=grau
棺,1=grek
贯,1=grko
惯,1=grho
毌,2=grku
倌,1=grjk
掼,1=gruo
瓘,1=grnu
祼,1=grfe
鹳,1=grlx
琯,1=grnk
鳏,3=grwk
筦,1=grrp
爟,1=grcu
盥,1=grpa
涫,1=grkk
纶,1=grij
莞,1=grlp
鳤,4=grwk
蒄,1=grlk
光,1=gdmg
广,1=gdxg
逛,1=gdmu
咣,1=gddm
洸,1=gdkm
桄,1=gdem
犷,1=gdmx
胱,1=gdvm
垙,1=gdgm
珖,1=gdnm
𨐈,1=gdym
贵,1=gvco
归,1=gvpb
鬼,1=gvag
柜,1=gven
跪,1=gvpz
轨,1=gvyk
硅,1=gvmg
龟,1=gvwg
桂,1=gveg
圭,1=gvgg
规,1=gvhe
诡,1=gvsz
瑰,1=gvna
珪,1=gvng
簋,1=gvra
癸,1=gvhm
妫,1=gvbi
邽,1=gvgt
鲑,2=gvwg
刿,1=gvvp
晷,1=gvod
闺,2=gvag
桧,1=gveb
刽,1=gvjp
鳜,1=gvwe
鬶,1=gvhn
宄,1=gvwk
庋,1=gvxc
匦,1=gvnk
皈,1=gvur
炅,1=gvoc
姽,1=gvbz
筀,1=gvrg
滚,1=gpkk
棍,1=gpev
鲧,1=gpwi
辊,1=gpyv
衮,1=gptk
绲,1=gpiv
磙,1=gpmk
过,1=goku
国,1=gori
锅,1=gozj
郭,1=gogt
果,1=goqe
裹,1=gote
粿,1=gope
虢,1=goyz
椁,1=goeh
馘,1=gohf
腘,1=govi
掴,1=goui
馃,2=goqe
崞,1=govh
呙,1=godj
帼,2=gori
蝈,1=goci
聒,1=goqa
蜾,1=goce
涡,1=gokj
埚,1=gogj
𬇹,1=goki
哈,1=hadd
蛤,1=hacd
铪,1=hazd
还,1=hlcu
海,1=hlkk
嗨,1=hldk
害,1=hlwd
氦,1=hlvk
孩,1=hlhk
亥,1=hlkh
嗐,1=hldd
醢,1=hlya
骇,1=hlnk
骸,1=hlfk
咳,2=hldk
咍,2=hldd
胲,2=hlvk
含,1=hjjd
喊,1=hjdd
汉,1=hjkr
韩,1=hjng
汗,1=hjke
寒,1=hjww
邯,1=hjzt
函,1=hjam
憨,1=hjah
焊,1=hjce
旱,1=hjoe
焓,1=hjcd
悍,1=hjhe
罕,1=hjwe
涵,1=hjkm
翰,1=hjnz
憾,1=hjhh
酣,1=hjyz
撼,1=hjuh
瀚,1=hjkz
颔,1=hjjw
晗,1=hjod
捍,1=hjue
蚶,1=hjcz
鼾,2=hjoe
扞,2=hjue
菡,1=hjlm
邗,1=hjet
琀,1=hjnd
暵,1=hjoh
犴,1=hjme
顸,1=hjew
撖,2=hjuh
浛,1=hjkd
虷,2=hjce
㘎,1=hjdh
垾,1=hjge
崡,1=hjvm
嵅,1=hjvd
蔊,1=hjle
行,1=hhpx
杭,1=hheo
航,1=hhio
夯,1=hhms
沆,1=hhko
颃,1=hhzw
绗,1=hhip
巷,1=hhlv
吭,1=hhdo
好,1=hkbh
号,1=hkda
薅,1=hklk
耗,1=hkav
浩,1=hkkd
豪,1=hkgj
壕,2=hkgj
嚎,1=hkdj
郝,1=hkgt
蚝,1=hkcv
皓,1=hkud
蒿,1=hklg
毫,1=hkgv
昊,1=hkom
皞,1=hkun
濠,1=hkkj
灏,1=hkkw
貉,1=hkms
鄗,2=hkgt
淏,1=hkkm
嗥,1=hkdn
颢,1=hkow
镐,1=hkzg
嚆,1=hkdg
和,1=hexd
喝,1=hedf
核,1=heek
盒,1=heja
何,1=hejz
合,1=hejd
河,1=hekz
呵,1=hedz
贺,1=heso
鹤,1=hewx
赫,1=hegc
荷,1=helz
禾,1=hexh
阖,1=heaa
龁,1=hela
嗬,2=hedz
褐,1=hetf
曷,1=heof
颌,1=hejw
郃,1=hejt
盍,1=hega
涸,1=hekc
诃,1=hesz
鹖,1=heox
劾,1=heks
貉,1=hems
纥,1=heia
盉,1=hexa
壑,1=hegg
吓,1=hedy
龢,1=hejx
熇,1=hecg
菏,2=helz
饸,1=heqd
翮,1=henz
翯,1=hezg
阂,1=heak
垎,1=hegs
隺,1=hewu
鞨,2=hetf
𬌗,1=held
黑,1=hzph
嘿,1=hzdp
𬭶,1=hzzp
很,1=hfwi
恨,1=hfhi
狠,1=hfmi
痕,1=hfai
𬣳,1=hfsi
哼,1=hgdr
横,1=hgen
恒,1=hghf
衡,1=hgpw
亨,1=hggr
珩,1=hgnp
桁,1=hgep
蘅,1=hglw
鸻,1=hgpx
姮,1=hgbf
行,2=hgpx
堼,1=hggg
红,1=hsiu
烘,1=hsch
宏,1=hswk
哄,1=hsdh
轰,1=hsyr
虹,1=hscu
洪,1=hskh
鸿,1=hskx
薨,1=hslv
弘,1=hsbk
泓,1=hskk
纮,1=hsik
闳,1=hsak
吽,1=hsdq
竑,2=hsik
黉,1=hskn
翃,1=hsnz
訇,1=hsns
蕻,1=hslh
唝,1=hsdo
讧,1=hssu
荭,1=hslu
玒,1=hsnu
谼,1=hshh
𫟹,1=hszh
𬭎,1=hszk
后,1=hbxd
厚,1=hbxh
吼,1=hbda
侯,1=hbjo
猴,1=hbmo
候,2=hbjo
喉,1=hbdo
齁,1=hbog
鲎,1=hbkw
堠,1=hbgo
垕,1=hbxg
逅,1=hbxu
糇,1=hbpo
瘊,1=hbao
骺,1=hbfd
篌,1=hbro
郈,1=hbxt
鲘,1=hbwd
𬭤,1=hbzo
壶,1=hugc
户,1=humh
湖,1=hukv
胡,1=hucv
虎,1=huzh
乎,1=hutn
糊,1=hupv
和,1=huxd
互,1=hufb
呼,1=hudn
护,1=huum
沪,1=hukm
忽,1=hunh
弧,1=huby
狐,1=humy
唬,1=hudz
核,1=huek
斛,1=huxj
瑚,1=hunv
瓠,2=humy
縠,1=hugr
笏,1=hure
鹄,1=huqx
鄠,1=hutt
葫,1=hulv
煳,2=hucv
扈,1=humm
烀,1=hucn
祜,1=hufc
怙,1=huhc
惚,1=huhh
觳,2=hugr
鹘,1=hufx
岵,1=huvc
唿,1=hudh
冱,1=huwb
鹱,1=huxr
鳠,1=huwr
蝴,3=hucv
琥,1=hunz
淴,1=hukh
浒,1=hukn
鹕,1=hucx
醐,1=huyv
槲,1=huej
滹,2=hukn
囫,2=hure
戽,1=humj
嫭,1=hubn
轷,1=huyn
猢,1=humv
昈,1=huom
昒,1=huoe
花,1=hwlv
化,1=hwjv
画,1=hwfm
话,1=hwsa
滑,1=hwkf
华,1=hwjn
划,1=hwpp
哗,1=hwdn
桦,1=hwen
婳,1=hwbm
骅,1=hwnn
猾,1=hwmf
砉,1=hwam
铧,1=hwzn
觟,1=hwxg
坏,1=hygc
怀,1=hyhc
淮,1=hyku
踝,1=hype
槐,1=hyea
徊,1=hywd
换,1=hrum
还,1=hrcu
环,1=hrnc
患,1=hrdh
幻,1=hria
缓,1=hrir
欢,1=hrre
唤,1=hrdm
嬛,1=hrbt
桓,1=href
寰,1=hrwt
浣,1=hrkp
焕,1=hrcm
獾,1=hrmu
涣,1=hrkm
洹,1=hrkf
圜,1=hrrt
豢,1=hrhj
郇,1=hrnt
鲩,1=hrwp
奂,1=hrxm
宦,1=hrwq
萑,1=hrlu
逭,1=hrwu
擐,1=hrut
缳,1=hrit
鹮,1=hryx
澴,1=hrkt
镮,1=hrzt
漶,1=hrkh
鬟,1=hrpt
睆,1=hrqp
痪,1=hram
貆,1=hrmf
峘,1=hrvf
锾,1=hrzr
㬊,1=hror
荁,1=hrlf
𤩽,1=hrnm
𬘫,1=hrip
黄,1=hdnh
慌,1=hdho
皇,1=hdun
晃,1=hdom
荒,1=hdlo
谎,1=hdso
簧,1=hdrn
煌,1=hdcn
篁,2=hdrn
凰,1=hdon
幌,1=hdrm
蝗,2=hdcn
恍,1=hdhm
滉,1=hdkm
遑,1=hduu
潢,1=hdkn
璜,1=hdnn
湟,2=hdkn
磺,1=hdmn
肓,1=hdfv
锽,1=hdzn
徨,1=hdwn
惶,1=hdhn
鳇,2=hdwn
隍,1=hdtn
喤,1=hddn
艎,1=hdin
癀,1=hdan
蟥,3=hdcn
媓,1=hdbn
瑝,2=hdnn
㿠,1=hdum
𨱑,2=hdzn
会,1=hvjb
回,1=hvrd
灰,1=hvnc
毁,1=hvpr
汇,1=hvkn
惠,1=hvnh
茴,1=hvld
绘,1=hvib
挥,1=hvuy
辉,1=hvmy
悔,1=hvhk
慧,1=hvah
喙,1=hvdj
晖,1=hvoy
烩,1=hvcb
讳,1=hvsg
恢,1=hvhc
徽,1=hvwh
卉,1=hvnl
虺,1=hvfc
蕙,1=hvlh
秽,1=hvxl
麾,1=hvzv
晦,1=hvok
诲,1=hvsk
隳,1=hvth
恚,1=hvgh
荟,1=hvlb
浍,1=hvkb
洄,1=hvkd
翚,1=hvzy
贿,1=hvov
翙,1=hvvz
咴,1=hvdc
珲,1=hvny
蛔,1=hvcd
彗,1=hvab
哕,1=hvdl
诙,1=hvsc
袆,1=hvtg
橞,1=hveh
蟪,1=hvch
桧,1=hveb
溃,1=hvko
烠,1=hvcv
硊,1=hvmz
㧑,1=hvui
𬤝,1=hvsh
𬭬,1=hvzb
混,1=hpkv
魂,1=hpba
婚,1=hpbo
荤,1=hply
浑,1=hpky
昏,2=hpbo
溷,1=hpkj
珲,1=hpny
阍,1=hpao
馄,1=hpqv
诨,1=hpsy
惛,1=hpho
碈,1=hpmo
或,1=hopf
活,1=hoka
火,1=hoch
货,1=hojo
获,1=holm
霍,1=hotu
嚯,1=hodu
祸,1=hofj
豁,1=howh
伙,1=hojc
和,1=hoxd
惑,1=hoph
镬,1=hozr
藿,1=holu
钬,1=hozc
濩,1=hokr
夥,1=hoql
嚄,1=hodr
蠖,1=hocr
攉,1=houu
漷,1=hokt
劐,1=holp
耠,1=hoad
佸,1=hoja
锪,1=hozh
㸌,1=hocu
𬴃,1=honm
及,1=jicj
即,1=jiiz
级,1=jiic
机,1=jieo
既,1=jiid
集,1=jiue
记,1=jisv
鸡,1=jirx
极,1=jiec
几,1=jioj
季,1=jixh
肌,1=jivo
基,1=jizg
急,2=jixh
系,1=jiti
继,1=jiia
挤,1=jiuq
计,1=jisn
剂,1=jiqp
给,2=jiid
寄,1=jiwz
姬,1=jibq
技,1=jiuc
祭,1=jihf
吉,1=jigd
寂,1=jiwr
籍,1=jiro
击,1=jium
纪,1=jiiv
忌,1=jivh
己,1=jivj
积,3=jixh
暨,1=jiif
辑,1=jiyq
脊,1=jiwv
疾,1=jiao
戟,1=jinp
箕,1=jirh
激,1=jikh
济,1=jikq
矶,1=jimo
叽,1=jido
迹,1=jizu
饥,1=jiqo
绩,1=jiio
冀,1=jiah
棘,1=jiem
藉,1=jilo
际,1=jitf
稷,4=jixh
妓,1=jibc
汲,1=jikc
蓟,1=jilp
伋,1=jijc
赍,1=jino
亟,1=jirf
髻,1=jipd
殛,1=jigf
鲫,2=jiwz
伎,2=jijc
稽,1=jixo
偈,1=jijf
畸,1=jiqz
霁,1=jitq
圾,1=jigc
嫉,1=jibo
讥,1=jiso
奇,1=jimz
笈,1=jirc
骥,1=jinh
嵴,1=jivv
唧,1=jidz
齑,1=jiqf
乩,1=jiya
戢,1=jidp
玑,2=jino
畿,1=jiiq
芰,1=jilc
嵇,1=jixv
洎,1=jiko
罽,1=jiyp
笄,1=jirl
楫,1=jieq
羁,1=jiyn
跻,1=jipq
麂,2=jixo
垍,1=jigo
姞,1=jibd
荠,1=jilq
蕺,2=jilp
屐,1=jicc
跽,1=jiph
觊,1=jive
漈,1=jikf
悸,1=jihh
缉,2=jiiq
剞,1=jimp
鲚,1=jiwq
觭,1=jixz
佶,1=jijd
掎,1=jiuz
岌,1=jivc
惎,1=jizh
耤,2=jiao
虮,1=jico
芨,2=jilc
瘠,1=jiav
期,1=jizv
蹐,1=jipv
犄,2=jiqz
穄,1=jixf
堲,1=jiig
蒺,2=jilo
墼,1=jiyg
瀱,1=jikp
鹡,1=jiwx
鱾,2=jiwv
㴔,2=jikh
徛,3=jiwz
枅,1=jiel
𪟝,1=jias
𫌀,1=jito
𫓯,2=jizg
𫓹,2=jizh
𬯀,2=jitq
𬶨,1=jiiw
𬶭,1=jiwf
加,1=jwsd
家,1=jwwj
假,1=jwjr
价,1=jwjp
甲,1=jwsj
架,1=jwse
夹,1=jwhh
贾,1=jwvo
嫁,1=jwbj
佳,1=jwjg
钾,1=jwzs
嘉,1=jwhd
伽,1=jwjd
驾,1=jwsn
痂,1=jwad
镓,1=jwzj
颊,1=jwhw
荚,1=jwlh
枷,1=jwed
迦,1=jwsu
葭,1=jwlr
岬,1=jwvs
珈,1=jwnd
斝,1=jwdj
笳,1=jwrd
郏,1=jwht
瘕,1=jwar
铗,1=jwzh
戛,1=jwfp
稼,1=jwxj
浃,1=jwkh
茄,1=jwld
胛,2=jwvs
槚,1=jweo
跏,1=jwpd
蛱,1=jwch
袈,1=jwst
恝,1=jwah
泇,1=jwkd
𬂩,1=jweh
间,1=jmao
见,1=jmej
件,1=jmjq
键,1=jmzu
剑,1=jmjp
兼,1=jmhc
建,1=jmbu
减,1=jmwd
煎,2=jmhc
捡,1=jmuf
箭,1=jmrp
剪,1=jmhp
肩,1=jmmv
简,1=jmro
尖,1=jmym
舰,1=jmie
贱,1=jmop
健,1=jmju
碱,1=jmmd
歼,1=jmgl
茧,1=jmlc
监,1=jmpa
荐,1=jmlh
溅,1=jmkp
渐,1=jmkt
拣,1=jmuy
检,1=jmef
僭,1=jmjo
谏,1=jmsh
奸,1=jmbe
坚,1=jmpg
鉴,1=jmpz
笺,2=jmrp
涧,1=jmko
践,1=jmpp
蹇,1=jmwp
艰,1=jmri
翦,1=jmhz
菅,1=jmlk
俭,1=jmjf
柬,1=jmxh
缄,1=jmid
腱,1=jmvu
笕,1=jmre
缣,1=jmic
锏,1=jmzo
睑,1=jmqf
戋,1=jmfp
鞬,1=jmtu
謇,1=jmws
湔,2=jmkp
踺,1=jmpu
犍,1=jmqu
裥,1=jmto
槛,1=jmea
蒹,2=jmlc
搛,1=jmuc
鲣,1=jmwg
枧,1=jmee
戬,2=jmfp
鹣,1=jmhx
楗,1=jmeu
暕,1=jmoh
谫,1=jmsp
毽,2=jmvu
趼,1=jmpl
篯,3=jmrp
饯,1=jmqp
鞯,1=jmth
牮,2=jmjq
鳒,1=jmwc
𬣡,2=jmsp
将,1=jdak
讲,1=jdsq
奖,1=jdam
酱,1=jday
姜,1=jdgb
江,1=jdku
降,1=jdtv
蒋,1=jdlk
僵,1=jdjf
匠,1=jdnt
桨,1=jdae
浆,2=jdak
犟,1=jdbq
绛,1=jdiv
疆,1=jdbf
缰,1=jdif
鳉,1=jdwk
豇,1=jdzu
洚,1=jdkv
强,1=jdbc
耩,1=jdag
弶,1=jdby
虹,1=jdcu
糨,1=jdpc
礓,1=jdmf
茳,1=jdlu
膙,1=jdvc
叫,1=jcdi
交,1=jcab
较,1=jcyb
教,1=jcqh
脚,1=jcvz
角,1=jcxt
胶,1=jcvb
浇,1=jckp
缴,1=jcih
焦,1=jcuc
搅,1=jcue
嚼,1=jcdk
窖,1=jced
椒,1=jcer
娇,1=jcbp
绞,1=jcib
跤,1=jcpb
鲛,1=jcwb
轿,1=jcyp
矫,1=jcop
剿,2=jcop
蛟,1=jccb
徼,1=jcwh
骄,1=jcnp
礁,1=jcmc
饺,1=jcqb
蕉,1=jclc
铰,1=jczb
狡,1=jcmb
皎,1=jcub
郊,1=jcat
湫,1=jckc
姣,1=jcbb
酵,1=jcyh
滘,1=jckd
校,1=jceb
鹪,1=jcux
醮,1=jcyc
皦,1=jcuh
觉,1=jcke
敫,2=jcuh
艽,1=jclk
茭,1=jclb
峤,1=jcvp
佼,1=jcjb
璬,1=jcnh
燋,1=jccc
侥,1=jcjp
斠,1=jcqj
皭,1=jcuk
峧,2=jcvb
藠,1=jclu
噍,1=jcdc
漖,1=jckh
僬,1=jcjc
恔,1=jchb
䴔,1=jcax
届,1=jxcd
界,1=jxqp
接,1=jxub
借,1=jxjo
皆,1=jxvu
解,1=jxxq
节,1=jxlz
姐,1=jxbf
街,1=jxpg
结,1=jxid
截,1=jxnu
杰,1=jxec
劫,1=jxgs
戒,1=jxpl
阶,1=jxtp
揭,1=jxuf
介,1=jxjp
蚧,1=jxcp
洁,1=jxkd
捷,1=jxus
芥,1=jxlp
藉,1=jxlo
嗟,1=jxdu
诘,1=jxsd
羯,1=jxgf
桀,1=jxle
竭,1=jxif
价,2=jxjp
桔,1=jxed
颉,1=jxgw
疖,1=jxaz
孑,1=jxrf
诫,1=jxsl
婕,1=jxbs
玠,1=jxnp
疥,1=jxap
睫,1=jxqs
碣,1=jxmf
絜,1=jxai
劼,2=jxgs
秸,1=jxxd
拮,1=jxud
檞,1=jxeq
骱,1=jxfp
湝,1=jxku
楷,1=jxeu
蜐,1=jxcs
鲒,1=jxwd
讦,1=jxse
喈,2=jxdu
悈,1=jxhl
褯,1=jxtr
岊,1=jxmv
㛃,1=jxab
进,1=jnqu
近,1=jntu
仅,1=jnjr
金,1=jnzj
斤,1=jntj
今,1=jnja
尽,1=jncw
劲,1=jnrs
紧,1=jnpi
晋,1=jnfo
禁,1=jnef
筋,2=jnrs
津,1=jnkb
巾,1=jnrj
锦,1=jnzr
浸,1=jnkr
堇,1=jnla
谨,1=jnsa
靳,1=jntt
槿,1=jnea
衿,1=jnta
瑾,1=jnna
烬,2=jncw
襟,1=jntf
矜,1=jnia
瑨,1=jnno
噤,1=jndf
溍,1=jnko
缙,1=jnio
觐,1=jnle
祲,1=jnfr
妗,1=jnba
馑,1=jnqa
浕,1=jnkw
赆,1=jnow
荩,1=jnlw
殣,1=jnga
珒,1=jnnb
廑,1=jnxa
琎,1=jnnu
墐,2=jnga
卺,1=jnaz
𬬱,1=jnzt
经,1=jyiu
竟,1=jyxp
精,1=jypv
镜,1=jyzp
净,1=jywb
静,1=jyab
竞,1=jyip
景,1=jyoy
井,1=jyqj
敬,1=jylh
京,1=jygy
鲸,1=jywy
惊,1=jyhy
颈,1=jyrw
警,1=jyls
境,1=jygp
茎,1=jylu
荆,1=jylp
径,1=jywu
靖,1=jyiv
菁,1=jylv
晶,1=jyoo
睛,1=jyqv
璟,1=jyny
胫,1=jyvu
粳,1=jypb
阱,1=jytq
劲,1=jyrs
旌,1=jyll
肼,1=jyvq
泾,1=jyku
丼,1=jyqi
婧,1=jybv
竫,1=jyib
迳,1=jyru
儆,1=jyjh
腈,1=jyvv
憬,2=jyhy
痉,1=jyau
倞,1=jyjy
刭,1=jyrp
靓,1=jyae
獍,1=jymp
兢,1=jycp
鼱,2=jypv
汫,1=jykq
璥,1=jynh
麖,1=jyxy
猄,1=jymy
䴖,1=jyax
囧,1=jsrm
冏,1=jsmd
炯,1=jscd
迥,1=jsmu
窘,1=jsed
扃,2=jsmd
颎,1=jsvw
炅,1=jsoc
坰,1=jsgd
泂,1=jskd
䌹,1=jsid
𬳶,1=jsnd
就,1=jqgo
酒,1=jqky
旧,2=jqgo
救,1=jqfh
